,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
10125,921,88000000,0.231578947,7.944482672," Romance, Drama, History",6.363884,0.011623779,6/2/2005,108539911,0.038931589,8.035589461,144,0.430420712,Cinderella Man,7.3,0.73,630,0.044760213,Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko, Paddy Considine, Bruce McGill,
10126,9779,25000000,0.065789474,7.397940009," Drama, Comedy",9.263965,0.016920844,6/1/2005,39053061,0.014007729,7.59165508,119,0.349514563,The Sisterhood of the Traveling Pants,6.3,0.63,396,0.028134991,Amber Tamblyn, Alexis Bledel, America Ferrera, Blake Lively, Jenna Boyd, Bradley Whitford,Ken Kwapis
10130,787,110000000,0.289473684,8.041392685," Action, Comedy, Drama, Thriller",15.724373,0.028720928,6/7/2005,478207520,0.171525648,8.679616401,120,0.352750809,Mr. & Mrs. Smith,6.5,0.65,3048,0.216554174,Angelina Jolie, Brad Pitt, Vince Vaughn, Adam Brody, Kerry Washington, Keith David,Doug Liman
10131,14199,50000000,0.131578947,7.698970004," Adventure, Family, Science Fiction",6.477862,0.011831963,6/10/2005,69425966,0.024902021,7.841521931,92,0.262135922,The Adventures of Sharkboy and Lavagirl,4.4,0.44,278,0.019751332,Taylor Lautner, Taylor Dooley, Cayden Boyd, David Arquette, Kristin Davis, Jacob Davich,"Robert Rodriguez, Seamstress, Elspeth Mason"
10136,9528,0.0001,0,0," Drama, Romance",3.837975,0.007010148,6/14/2004,20377075,0.007308942,7.309141844,104,0.300970874,Ladies in Lavender,6.5,0.65,36,0.002557726,Judi Dench, Maggie Smith, Daniel Brühl, Freddie Jones, Jimmy Yuill, Miriam Margolyes,Charles Dance
10140,20941,0.0001,0,0," Drama, War",7.559298,0.01380723,11/5/2004,837000,0.000300219,5.922725458,120,0.352750809,Innocent Voices,7.6,0.76,33,0.002344583,Carlos Padilla, Xuna Primus, Leonor Varela, José María Yazpik, Gustavo Muñoz, Ofelia Medina,Luis Mandoki
10146,11620,8250000,0.021710526,6.916453949," Drama, History, Romance",11.840985,0.02162783,11/8/1951,30000000,0.010760536,7.477121255,171,0.517799353,Quo Vadis,7,0.7,64,0.004547069,Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov, Patricia Laffan, Finlay Currie,"Mervyn LeRoy, Anthony Mann"
10148,272,150000000,0.394736842,8.176091259," Action, Crime, Drama",28.505341,0.052065661,6/10/2005,374218673,0.134226456,8.573125454,140,0.417475728,Batman Begins,7.5,0.75,7511,0.533641208,Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy,VFX
10158,11451,50000000,0.131578947,7.698970004," Comedy, Family, Adventure, Fantasy, Romance",9.35239,0.017082354,6/22/2005,66002004,0.023673899,7.819557122,101,0.291262136,Herbie Fully Loaded,5.1,0.51,559,0.039715808,Lindsay Lohan, Michael Keaton, Matt Dillon, Breckin Meyer, Justin Long, Cheryl Hines," Projection, Michael Altman"
10160,11683,15000000,0.039473684,7.176091259,Horror,9.478117,0.017311997,6/24/2005,46770602,0.016775892,7.66997296,93,0.265372168,Land of the Dead,6,0.6,395,0.028063943,Simon Baker, John Leguizamo, Dennis Hopper, Robert Joy, Asia Argento, Eugene Clark,
