id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director,keywords,woman director,independent film,murder,based on novel,musical,sex,violence,nudity,biography,revenge,suspense,love,female nudity,sport,police,Martin Scorsese,Ang Lee,Steven Spielberg
577,20000000,0.052631579,7.301029996," Fantasy, Drama, Comedy, Thriller",10.448481,0.01908439,5/20/1995,21284514,0.007634426,7.328063738,106,0.307443366,To Die For,6.7,0.67,177,0.012575488,Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas, Alison Folland,Gus Van Sant,"[adultery, winter, obsession, television, new hampshire, narcissistic personality disorder]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11861,10000000,0.026315789,7," Drama, Romance",4.485958,0.008193704,10/6/1995,23574130,0.008455676,7.372435674,116,0.339805825,How To Make An American Quilt,6.5,0.65,38,0.002699822,Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons, Maya Angelou,Jocelyn Moorhouse,"[wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director]",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
807,33000000,0.086842105,7.51851394," Crime, Mystery, Thriller",18.45743,0.03371292,9/22/1995,327311859,0.117401706,8.514961741,127,0.375404531,Se7en,8.1,0.81,5915,0.420248668,Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey, R. Lee Ermey,,"[self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10530,55000000,0.144736842,7.740362689," Adventure, Animation, Drama, Family",13.280069,0.02425635,6/14/1995,346079773,0.124133467,8.539176217,81,0.226537217,Pocahontas,6.7,0.67,1509,0.107211368,Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Russell Means, Christian Bale,"Mike Gabriel, Eric Goldberg","[culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim]",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
629,6000000,0.015789474,6.77815125," Drama, Crime, Thriller",16.302466,0.029776828,7/19/1995,23341568,0.008372259,7.368130027,106,0.307443366,The Usual Suspects,8.1,0.81,3334,0.23687389,Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Kevin Spacey,Bryan Singer,"[law, relatives, theft, criminal, criminal mastermind, hungarian, sibling]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9089,0.0001,0,0," Comedy, Drama, Romance",8.416802,0.015373481,11/2/1995,17519169,0.006283855,7.243513502,103,0.297734628,Home for the Holidays,6.3,0.63,39,0.00277087,Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Claire Danes, Dylan McDermott,Jodie Foster,"[baltimore, thanksgiving, family clan, family conflict, generations conflict, woman director]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2054,0.0001,0,0," Music, Drama, Family",7.137117,0.013036107,12/29/1995,106269971,0.038117396,8.026410562,137,0.40776699,Mr. Holland's Opus,6.9,0.69,115,0.008170515,Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy, Alicia Witt,Stephen Herek,"[composer, mentor, deaf-mute, musical, apprentice, private life, music, disabled]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11525,0.0001,0,0," Action, Science Fiction",2.49535,0.004557812,1/12/1996,2409225,0.000864151,6.381877361,92,0.262135922,Lawnmower Man 2: Beyond Cyberspace,2.8,0.28,32,0.002273535,Patrick Bergin, Matt Frewer, Ely Pouget, Camille Cooper, Patrick LaBrecque, Crystal Celeste Grant,Farhad Mann,"[hacker, virtual reality, computer, sword fight]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10634,3500000,0.009210526,6.544068044,Comedy,14.56965,0.0266118,4/26/1995,28215918,0.010120613,7.450494185,91,0.258899676,Friday,7,0.7,513,0.036447602,Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon, Anna Maria Horsford,F. Gary Gray,"[rap music, parent child relationship, rapper, job]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28387,0.0001,0,0," Comedy, Drama, Romance",3.367276,0.006150405,10/6/1995,718490,0.000257711,5.856420728,96,0.275080906,Kicking and Screaming,7,0.7,36,0.002557726,Josh Hamilton, Carlos Jacott, Eric Stoltz, Chris Eigeman, Jason Wiles, Parker Posey,Noah Baumbach,[college],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20927,0.0001,0,0," Drama, Romance",10.412194,0.019018111,1/26/1996,19030691,0.006826014,7.279454558,87,0.245954693,Bed of Roses,5.1,0.51,27,0.001918295,Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin, Brian Tarantina, Debra Monk,Michael Goldenberg,"[florist, family relationships]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13997,0.0001,0,0,Comedy,8.963037,0.016371192,2/1/1996,32,1.11E-08,1.505149978,87,0.245954693,Black Sheep,6,0.6,124,0.008809947,Chris Farley, David Spade, Grant Heslov, Tim Matheson, Gary Busey, Bruce McGill,Penelope Spheeris,"[nitrous oxide, candid camera, double act, political satire, crooked politician, woman director]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,8169363,0.021498324,6.912188194," Crime, Drama, Thriller",6.848591,0.012509108,11/22/1995,8175346,0.00293237,6.912506142,90,0.25566343,Nick of Time,6.1,0.61,190,0.013499112,Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken, Roma Maffia, Peter Strauss,John Badham,"[assassination, train station, politics, los angeles]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12158,14000000,0.036842105,7.146128036," Comedy, Horror, Romance",9.071127,0.016568621,10/26/1995,19800000,0.007101954,7.29666519,100,0.28802589,Vampire in Brooklyn,4.5,0.45,113,0.008028419,Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison, John Witherspoon, Zakes Mokae,Wes Craven,"[vampire, half vampire]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9208,50000000,0.131578947,7.698970004," Action, Adventure, Drama, Thriller",14.957626,0.027320447,2/9/1996,150270147,0.05389958,8.176872711,108,0.313915858,Broken Arrow,5.7,0.57,459,0.032611012,John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley,John Woo,"[helicopter, river, captain, underground, mexican standoff, countdown, pilot, fistfight, canyon, major, betrayal, gunfight, train, explosion, park ranger, desert, military, nuclear device, boxing, stealth aircraft, abandoned mine, humvee]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9614,12000000,0.031578947,7.079181246,Comedy,9.592265,0.017520491,2/16/1996,41205099,0.014779632,7.614950962,92,0.262135922,Happy Gilmore,6.5,0.65,767,0.054493783,Adam Sandler, Ben Stiller, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers,Dennis Dugan,"[loss of mother, loss of father, golf, sport, taxes]",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
688,24000000,0.063157895,7.380211242," Drama, Romance",5.951077,0.010869778,5/28/1995,182016617,0.065286548,8.260111038,135,0.401294498,The Bridges of Madison County,7.3,0.73,397,0.028206039,Meryl Streep, Clint Eastwood, Annie Corley, Victor Slezak, Jim Haynie, Sarah Kathryn Schmitt,Clint Eastwood,"[farewell, adultery, love at first sight, photographer, wife husband relationship, iowa, mother role, bridge, housewife, love letter, peasant, marriage crisis, photography, unsociability, secret love, nature documentary]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10874,0.0001,0,0," Action, Comedy, Music, Family, Adventure",6.902423,0.012607433,2/16/1996,34327391,0.012312704,7.535640797,100,0.28802589,Muppet Treasure Island,6.5,0.65,93,0.00660746,Tim Curry, Kevin Bishop, Jennifer Saunders, Billy Connolly, Dave Goelz, Frank Oz,Brian Henson,"[island, pirate gang, puppet, treasure hunt]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,72000000,0.189473684,7.857332496," Action, Drama, History, War",20.755149,0.037909756,5/24/1995,210000000,0.075323755,8.322219295,177,0.537216828,Braveheart,7.7,0.77,3404,0.241847247,Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen, Brendan Gleeson,,"[individual, scotland, in love with enemy, legend, independence, idealism, revolt, tyranny]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,1300000,0.003421053,6.113943352," Crime, Drama",14.092713,0.025740663,2/7/1976,28262574,0.010137348,7.451211712,114,0.333333333,Taxi Driver,8.1,0.81,2632,0.186998224,Robert De Niro, Cybill Shepherd, Harvey Keitel, Jodie Foster, Peter Boyle, Leonard Harris,Martin Scorsese,"[vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33542,7500000,0.019736842,6.875061263," Crime, Action, Comedy, Thriller",12.314278,0.022492311,1/30/1995,32392047,0.011618526,7.510438394,91,0.258899676,Rumble in the Bronx,6.5,0.65,245,0.01740675,Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream, Garvin Cross,Stanley Tong,"[new york, martial arts, supermarket, gang war, disabled child, gang, wedding, diamond, bronx, duringcreditsstinger]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51352,0.0001,0,0," Documentary, Drama, Foreign",0.243986,0.000445644,6/8/1995,1,0,0,117,0.343042071,Anne Frank Remembered,7.3,0.73,4,0.000284192,Kenneth Branagh, Glenn Close,,,,,Jon Blair,"[fascism, auschwitz, typhus, victim, interview, prejudice, burglary, rabbit]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11066,40000000,0.105263158,7.602059991," Comedy, Romance",6.506983,0.011885153,6/30/1992,70100000,0.025143787,7.845718018,117,0.343042071,Boomerang,5.4,0.54,139,0.009875666,Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier, Grace Jones, Martin Lawrence,Reginald Hudlin,"[role of women, ladykiller, success, chefin, casanova, womanizer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,7000000,0.018421053,6.84509804," Comedy, Romance",5.579088,0.010190331,3/22/1996,14702438,0.005273537,7.167389357,92,0.262135922,Flirting with Disaster,6.3,0.63,66,0.004689165,Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore, Alan Alda, George Segal,David O. Russell,"[lsd, looking for  birth parents, half-brother, independent film]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,31000000,0.081578947,7.491361694,Comedy,6.49968,0.011871814,3/8/1996,185260553,0.066450098,8.267782956,117,0.343042071,The Birdcage,6.7,0.67,303,0.021527531,Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest, Grant Heslov, Hank Azaria,Mike Nichols,"[gay, drag queen, homophobia, florida, coming out, senator, politician, lgbt, crossdressing, 1990s]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
