,id,budget,budget_norm,budget_log,genres,popularity,popularity_norm,release_date,revenue,revenue_norm,revenue_log,runtime,runtime_norm,title,vote_average,vote_average_norm,vote_count,vote_count_norm,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
19523,88036,14000000,0.036835769,7.146128036," Drama, Music",2.24386,4.10E-03,8/17/2012,24637469,0.00883658,7.391596091,116,0.343195266,Sparkle,5.8,6.37E-01,36,0.002557726,Whitney Houston, Cee Lo Green, Derek Luke, Mike Epps, Carmen Ejogo, Jordin Sparks,Salim Akil
19526,75638,14000000,0.036835769,7.146128036,Thriller,11.535478,2.11E-02,3/2/2012,13551174,0.004860096,7.131976922,119,0.352071006,Red Lights,6,6.59E-01,381,0.027069272,Sigourney Weaver, Robert De Niro, Cillian Murphy, Elizabeth Olsen, Toby Jones, Joely Richardson,Rodrigo Cortés
19528,82675,45000000,0.118415253,7.653212514," Action, Crime, Thriller",16.376482,2.99E-02,9/27/2012,376141306,0.134915639,8.575351028,91,0.269230769,Taken 2,6.1,6.70E-01,2783,0.197726465,Liam Neeson, Maggie Grace, Famke Janssen, Rade Serbedzija, Luke Grimes, Jon Gries,Olivier Megaton
19529,82390,12500000,0.032888374,7.096910013,Thriller,5.526878,1.01E-02,9/14/2012,1353868,0.000485108,6.131576323,107,0.316568047,The Paperboy,5.4,5.93E-01,244,0.017335702,Zac Efron, Matthew McConaughey, Nicole Kidman, John Cusack, David Oyelowo, Macy Gray,Lee Daniels
19541,88273,8000000,0.021046191,6.903089987," Drama, History, Romance",8.168448,1.49E-02,3/29/2012,7594693,0.002723597,6.880510223,137,0.405325444,A Royal Affair,7.2,7.91E-01,244,0.017335702,Mads Mikkelsen, David Dencik, Alicia Vikander, Mikkel Boe Følsgaard, Cyron Melville, Trine Dyrholm,"Script Supervisor, Lars von Trier"
19542,82505,6900000,0.018151435,6.838849091," Horror, Thriller",8.513457,1.55E-02,9/21/2012,44287131,0.015884614,7.646277547,101,0.298816568,House at the End of the Street,5.6,6.15E-01,566,0.040213144,Jennifer Lawrence, Max Thieriot, Elisabeth Shue, Gil Bellows, Nolan Gerard Funk, Eva Link,
19550,126509,2500000,0.006572412,6.397940009,Documentary,1.221216,2.23E-03,7/13/2012,33400000,0.011979566,7.523746467,87,0.25739645,2016: Obama's America,4.6,5.05E-01,19,0.001349911,,,,,,,"John Sullivan, Dinesh D, SouzaExecutive Producer,  Dinesh D, Souza"
19560,110160,9500000,0.024993585,6.977723605," Drama, Romance",8.59498,1.57E-02,5/18/2012,12250,3.89029E-06,4.088136089,168,0.49704142,Laurence Anyways,7.7,8.46E-01,190,0.013499112,Melvil Poupaud, Suzanne Clément, Nathalie Baye, Monia Chokri, Yves Jacques, Sophie Faucher,Xavier Dolan
19563,82096,947000,0.002485543,5.976349979," Romance, Drama",0.631309,1.15E-03,11/23/1934,1120000,0.000401223,6.049218023,85,0.25147929,The Painted Veil,5.2,5.71E-01,5,0.00035524,Greta Garbo, Herbert Marshall, George Brent, Warner Oland, Jean Hersholt, Bodil Rosing,Richard Boleslawski
19573,97365,15400000,0.040520003,7.187520721," Drama, Romance",8.400049,1.53E-02,5/17/2012,25762027,0.009239942,7.410980031,123,0.363905325,Rust and Bone,7.1,7.80E-01,438,0.031119005,Marion Cotillard, Matthias Schoenaerts, Bouli Lanners, Céline Sallette, Corinne Masiero, Mourad Frarema,Jacques Audiard
19585,101267,12000000,0.031572576,7.079181246," Documentary, Music",8.960713,1.64E-02,6/28/2012,32726956,0.011738156,7.514905613,93,0.275147929,Katy Perry: Part of Me,6.5,7.14E-01,88,0.00625222,Katy Perry, Russell Brand, Shannon Woodward, Rachael Markarian, Mia Moretti, Glen Ballard,
19611,62214,39000000,0.102625675,7.591064607," Animation, Comedy, Family",10.296047,1.88E-02,10/4/2012,35287788,0.012656687,7.547624436,87,0.25739645,Frankenweenie,6.6,7.25E-01,951,0.067566607,Charlie Tahan, Martin Short, Martin Landau, Atticus Shaffer, Winona Ryder, Robert Capron,
19616,82507,3000000,0.00788821,6.477121255," Horror, Thriller, Mystery",12.490637,2.28E-02,3/29/2012,77712439,0.027873762,7.890490539,110,0.325443787,Sinister,6.8,7.47E-01,1611,0.114458259,Ethan Hawke, Juliet Rylance, James Ransone, Fred Dalton Thompson, Clare Foley, Victoria Leigh,Scott Derrickson
19624,76492,85000000,0.223679103,7.929418926," Animation, Comedy, Family, Fantasy",16.231945,2.96E-02,9/20/2012,358375603,0.128543353,8.554338437,91,0.269230769,Hotel Transylvania,6.8,7.47E-01,2622,0.186287744,Adam Sandler, Steve Buscemi, David Spade, Kevin James, Selena Gomez, Andy Samberg,Genndy T
19645,68734,44500000,0.117099455,7.648360011," Drama, Thriller",14.238234,2.60E-02,10/11/2012,232324128,0.083330613,8.366094316,120,0.355029586,Argo,7.1,7.80E-01,3473,0.246749556,Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan,Ben Affleck
19646,86838,15000000,0.039467365,7.176091259," Comedy, Crime",9.643538,1.76E-02,9/7/2012,19422261,0.006965965,7.288299786,110,0.325443787,Seven Psychopaths,6.7,7.36E-01,1224,0.0869627,Colin Farrell, Sam Rockwell, Woody Harrelson, Christopher Walken, Tom Waits, Abbie Cornish,Martin McDonagh
19669,57089,30000000,0.078941309,7.477121255," Comedy, Animation, Family",9.382577,1.71E-02,4/29/2011,13521829,0.00484957,7.131035439,86,0.25443787,Hoodwinked Too! Hood VS. Evil,4.8,5.27E-01,135,0.009591474,Hayden Panettiere, Bill Hader, Joan Cusack, Patrick Warburton, Glenn Close, David Ogden Stiers,Mike Disa
19692,117691,1400000,0.003677656,6.146128036," Action, Thriller, Crime",9.777219,1.79E-02,6/22/2012,4100000,0.001470104,6.612783857,320,0.946745562,Gangs of Wasseypur,7,7.69E-01,83,0.00589698,Manoj Bajpayee, Richa Chadda, Tigmanshu Dhulia, Nawazuddin Siddiqui, Reema Sen, Huma Qureshi,Anurag Kashyap
19708,82990,5000000,0.013151402,6.698970004,Horror,6.188286,1.13E-02,10/17/2012,142817992,0.051226129,8.154782923,95,0.281065089,Paranormal Activity 4,5.2,5.71E-01,574,0.040781528,Katie Featherston, Kathryn Newton, Matt Shively, Aiden Lovekamp, Brady Allen, Stephen Dunham,Henry Joost
19722,94348,45000000,0.118415253,7.653212514," Action, Thriller, Crime, Mystery",8.279285,1.51E-02,10/18/2012,30353232,0.010886737,7.482204941,101,0.298816568,Alex Cross,5.1,5.60E-01,303,0.021527531,Tyler Perry, Rachel Nichols, Jean Reno, Matthew Fox, Giancarlo Esposito, Edward Burns,Rob Cohen
19724,83542,102000000,0.26841624,8.008600172," Drama, Science Fiction",13.494246,2.46E-02,10/26/2012,130482868,0.046801709,8.115553494,172,0.50887574,Cloud Atlas,6.6,7.25E-01,3031,0.215346359,Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Bae Doona,
19736,61012,20000000,0.052625346,7.301029996," Thriller, Horror, Mystery",5.745206,1.05E-02,10/10/2012,52302796,0.018759711,7.718524906,94,0.278106509,Silent Hill: Revelation 3D,5.1,5.60E-01,435,0.030905861,Adelaide Clemens, Kit Harington, Sean Bean, Carrie-Anne Moss, Radha Mitchell, Deborah Kara Unger,
19742,43937,2500000,0.006572412,6.397940009," Drama, Family",1.659692,3.03E-03,2/5/2009,352810,0.000126044,5.547540886,100,0.295857988,Like Dandelion Dust,6.7,7.36E-01,23,0.001634103,Mira Sorvino, Barry Pepper, Cole Hauser, Kate Levering,,,Jon Gunn
19762,64689,15000000,0.039467365,7.176091259," Crime, Thriller",6.777326,1.24E-02,9/20/2012,37930465,0.013604575,7.578988167,97,0.286982249,Killing Them Softly,5.8,6.37E-01,751,0.053357016,Brad Pitt, Scoot McNairy, Ben Mendelsohn, James Gandolfini, Ray Liotta, Richard Jenkins,Andrew Dominik
19765,113947,1000000,0.002625017,6," Drama, Romance, Comedy",5.760319,1.05E-02,5/2/2012,9138338,0.003277279,6.960867217,98,0.289940828,The Sessions,6.6,7.25E-01,183,0.013001776,John Hawkes, Helen Hunt, William H. Macy, Moon Bloodgood, Annika Marks, W. Earl Brown,
19777,84341,500000,0.001309219,5.698970004,Drama,4.893812,8.94E-03,9/12/2012,376597,0.000134576,5.575876856,85,0.25147929,Smashed,6.3,6.92E-01,88,0.00625222,Mary Elizabeth Winstead, Aaron Paul, Octavia Spencer, Nick Offerman, Megan Mullally, Mary Kay Place,James Ponsoldt
19781,82690,165000000,0.434206804,8.217483944," Family, Animation, Comedy, Adventure",13.697597,2.50E-02,11/1/2012,471222889,0.169019951,8.673226378,108,0.319526627,Wreck-It Ralph,7.1,7.80E-01,4656,0.33079929,John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch, Alan Tudyk, Mindy Kaling,Rich Moore
19782,47878,17000000,0.044730557,7.230448921,Comedy,0.963345,1.76E-03,10/8/1982,946461,0.000338978,5.976102723,105,0.310650888,Lookin' to Get Out,5.3,5.82E-01,1,7.1048E-05,Jon Voight, Ann-Margret, Burt Young, Bert Remsen, Jude Farese, Richard Bradford,Hal Ashby
19784,82693,21000000,0.055256942,7.322219295," Drama, Comedy, Romance",14.488111,2.65E-02,9/8/2012,205738714,0.073794831,8.313316021,122,0.360946746,Silver Linings Playbook,7,7.69E-01,4840,0.343872114,Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, Chris Tucker, Anupam Kher,
19785,87502,31000000,0.081572905,7.491361694,Drama,10.973822,2.00E-02,11/2/2012,161772375,0.058024777,8.208904361,138,0.408284024,Flight,6.5,7.14E-01,2449,0.173996448,Denzel Washington, Don Cheadle, Bruce Greenwood, Kelly Reilly, John Goodman, Brian Geraghty,"Foley, Goro Koyama"
19788,87827,120000000,0.315784972,8.079181246," Adventure, Drama, Action",14.045042,2.57E-02,11/20/2012,609016565,0.218444438,8.784629105,127,0.375739645,Life of Pi,7.2,7.91E-01,5912,0.420035524,Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur, Adil Hussain, Tabu,Ang Lee
19792,97430,15000000,0.039467365,7.176091259,Action,8.310945,1.52E-02,11/2/2012,15608545,0.005598043,7.193362421,96,0.284023669,The Man with the Iron Fists,5.2,5.71E-01,369,0.026216696,Russell Crowe, Lucy Liu, Jamie Chung, RZA, Zhu Zhu, Dave Bautista,RZA
19814,79070,2500000,0.006572412,6.397940009," Action, Comedy, Thriller, Romance",2.942355,5.37E-03,11/14/2011,3358,7.0087E-07,3.526080692,98,0.289940828,Sleepless Night,6,6.59E-01,48,0.003410302,Tomer Sisley, Julien Boisselier, JoeyStarr, Serge Riaboukine, Laurent Stocker, Lizzie Brocheré,Frédéric Jardin
19824,127493,35000000,0.09209929,7.544068044," Action, Crime, Drama, Thriller",7.759429,1.42E-02,5/17/2012,2106557,0.000755086,6.323573215,96,0.284023669,Stolen,5.1,5.60E-01,345,0.024511545,Nicolas Cage, Malin Åkerman, Josh Lucas, Sami Gayle, Danny Huston, Mark Valley,Simon West
19825,86837,8900000,0.023414628,6.949390007," Drama, Romance",7.663947,1.40E-02,7/1/2012,29844753,0.010704354,7.474867989,127,0.375739645,Amour,7.5,8.24E-01,413,0.029342806,Emmanuelle Riva, Jean-Louis Trintignant, Isabelle Huppert, William Shimell, Rita Blanco, Dinara Drukarova,Michael Haneke
19848,56928,5000000,0.013151402,6.698970004," Comedy, Drama, Romance",1.608163,2.94E-03,6/4/2010,31649,1.08484E-05,4.500359992,98,0.289940828,Meet Monica Velour,5.5,6.04E-01,12,0.000852575,Kim Cattrall, Dustin Ingram, Brian Dennehy, Keith David, Elizabeth Wright Shapiro,,Keith Bearden
19852,72976,65000000,0.171047178,7.812913357," History, Drama",10.680331,1.95E-02,11/9/2012,275293450,0.098743053,8.439795878,149,0.440828402,Lincoln,6.7,7.36E-01,1456,0.103445826,Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook,Steven Spielberg
