,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
313,11395,22000000,7.342422681," Fantasy, Drama, Comedy, Family",9.665424,11/10/1994,189833357,8.278372528,97,The Santa Clause,6.3,501,Tim Allen, Judge Reinhold, Wendy Crewson, David Krumholtz, Peter Boyle, Eric Lloyd,John Pasquin
4857,11397,16000000,7.204119983,Comedy,9.101896,12/7/2001,66468332,7.82261478,89,Not Another Teen Movie,5.5,444,Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Lacey Chabert,
10702,11400,30000000,7.477121255," Drama, History, Romance",7.694502,12/25/2005,30536013,7.484812332,135,The New World,6.4,336,Colin Farrell, Christopher Plummer, Christian Bale, August Schellenberg, Wes Studi, David Thewlis,Terrence Malick
2535,11411,17000000,7.230448921," Action, Adventure, Science Fiction",7.990679,7/23/1987,19300000,7.285557309,90,Superman IV: The Quest for Peace,4.1,327,Christopher Reeve, Margot Kidder, Gene Hackman, Jackie Cooper, Marc McClure, Jon Cryer,Sidney J. Furie
1025,11412,65000000,7.812913357," Crime, Action, Mystery, Thriller",14.482345,10/11/1996,89456761,7.951613169,120,The Long Kiss Goodnight,6.4,323,Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko, Tom Amandes, Brian Cox,Renny Harlin
1411,11419,25000000,7.397940009,Comedy,9.304901,2/13/1997,36400360,7.561105679,93,Vegas Vacation,6,175,Chevy Chase, Randy Quaid, Ethan Embry, Marisol Nichols, Miriam Flynn, Wayne Newton,Stephen Kessler
1841,11426,1650000,6.217483944," War, Drama, Romance",5.358582,8/28/1953,30500000,7.484299839,118,From Here to Eternity,7.2,137,Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, Frank Sinatra, Philip Ober,"Fred Zinnemann, Songs, James Jones"
9919,11431,30000000,7.477121255," Comedy, Drama, Romance",6.734065,4/6/2005,50451307,7.702872422,103,Fever Pitch,5.9,186,Drew Barrymore, Jimmy Fallon, Jason Spevack, Jack Kehler, Maureen Keiller, Daniel Greene,"Bobby Farrelly, Peter Farrelly"
14897,11439,45000000,7.653212514," Thriller, Mystery",6.76482,2/12/2010,60222298,7.779757324,128,The Ghost Writer,6.7,681,Ewan McGregor, Pierce Brosnan, Jon Bernthal, Kim Cattrall, Tom Wilkinson, Olivia Williams,
5358,11442,13000000,7.113943352," Horror, Thriller",8.502529,7/1/2002,37664855,7.5759363,94,Halloween: Resurrection,4.5,230,Jamie Lee Curtis, Brad Loree, Busta Rhymes, Bianca Kajlich, Katee Sackhoff, Thomas Ian Nicholas,Rick Rosenthal
10158,11451,50000000,7.698970004," Comedy, Family, Adventure, Fantasy, Romance",9.35239,6/22/2005,66002004,7.819557122,101,Herbie Fully Loaded,5.1,559,Lindsay Lohan, Michael Keaton, Matt Dillon, Breckin Meyer, Justin Long, Cheryl Hines," Projection, Michael Altman"
5165,11452,5000000,6.698970004," Comedy, Romance",7.668576,3/29/2002,38275483,7.58292068,92,National Lampoon’s Van Wilder,5.9,867,Ryan Reynolds, Tara Reid, Tim Matheson, Kal Penn, Simon Helberg, Teck Holmes,Walt Becker
10287,11453,22000000,7.342422681,Comedy,5.341117,8/6/2005,22400154,7.350251004,83,Deuce Bigalow: European Gigolo,4.6,232,Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger, Hanna Verboom, Oded Fehr,
10252,11459,35000000,7.544068044," Adventure, Comedy, Family",8.061423,7/29/2005,86369815,7.936361989,100,Sky High,5.8,568,Michael Angarano, Kurt Russell, Kelly Preston, Danielle Panabaker, Kevin Heffernan, Dee Jay Daniels,
10331,11460,26000000,7.414973348," Horror, Thriller",6.336927,8/4/2005,57891803,7.762617076,85,Red Eye,6.2,471,Rachel McAdams, Cillian Murphy, Brian Cox, Jayma Mays, Jack Scalia, Robert Pine,
2103,11462,1103000,6.042575512," Mystery, Thriller",5.660476,11/14/1941,4500000,6.653212514,99,Suspicion,7.1,140,Cary Grant, Joan Fontaine, Cedric Hardwicke, Nigel Bruce, Dame May Whitty, Isabel Jeans,Alfred Hitchcock
5205,11470,11000000,7.041392685," Horror, Science Fiction",7.793873,7/24/2001,16951798,7.229215769,91,Jason X,4.5,298,Kane Hodder, Lexa Doig, Chuck Campbell, Lisa Ryder, David Cronenberg, Markus Parilo,James Isaac
7467,11474,4000000,6.602059991," Action, Adventure, Crime, Drama, Thriller",11.457298,2/8/1979,22490039,7.351990209,93,The Warriors,7.4,451,Michael Beck, James Remar, David Patrick Kelly, Dorsey Wright, David Harris, Deborah Van Valkenburgh,Walter Hill
3372,11478,15000000,7.176091259," Crime, Drama, Thriller",11.363754,3/31/2000,35007180,7.544157128,106,The Skulls,5.7,160,Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb, Christopher McDonald, Steve Harris,Rob Cohen
3595,11495,15000000,7.176091259," Fantasy, Drama, Horror, Action, Thriller",7.048087,5/11/1984,17080167,7.232492113,114,Firestarter,5.9,174,David Keith, Drew Barrymore, Freddie Jones, Heather Locklear, Martin Sheen, George C. Scott,Mark L. Lester
2020,11497,13800000,7.139879086," Drama, Animation, Family, Comedy, Fantasy",7.068389,11/17/1989,27100027,7.432969724,89,All Dogs Go to Heaven,6.3,244,Burt Reynolds, Dom DeLuise, Judith Barsi, Melba Moore, Daryl Gilley, Candy Devine,
4427,11503,7000000,6.84509804," Horror, Thriller",7.791952,2/5/1988,19595031,7.292145955,98,The Serpent and the Rainbow,6.2,120,Bill Pullman, Cathy Tyson, Zakes Mokae, Paul Winfield, Brent Jennings, Conrad Roberts,Wes Craven
2765,11527,11000000,7.041392685," Fantasy, Adventure",8.800455,4/10/1981,34967437,7.543663801,140,Excalibur,7.1,241,Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi, Paul Geoffrey, Nicol Williamson,John Boorman
5499,11529,30000000,7.477121255," Comedy, Romance",8.587129,9/26/2002,180622424,8.256771666,108,Sweet Home Alabama,6.1,408,Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen, Rhona Mitra, Deborah Duke,Andy Tennant
4311,11536,4000000,6.602059991," Drama, Action, Romance",5.317544,1/1/1961,8200000,6.913813852,124,The Misfits,6.8,76,Clark Gable, Marilyn Monroe, Montgomery Clift, Thelma Ritter, Eli Wallach, James Barton,John Huston
4598,11542,15000000,7.176091259," Mystery, Drama, Fantasy, Science Fiction, Thriller, Horror",10.603299,12/25/1980,19853892,7.297845655,102,Altered States,6.7,169,William Hurt, Blair Brown, Bob Balaban, Charles Haid, Thaao Penghlis, Miguel Godreau,Ken Russell
5326,11544,80000000,7.903089987," Animation, Family",18.469238,6/21/2002,145771527,8.163672703,85,Lilo & Stitch,7.1,1371,Chris Sanders, Daveigh Chase, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames,"Dean DeBlois, LeadLeadLeadLead"
2288,11545,9000000,6.954242509," Comedy, Drama",5.997054,9/17/1998,17096053,7.232895856,93,Rushmore,7.5,688,Jason Schwartzman, Olivia Williams, Bill Murray, Seymour Cassel, Mason Gamble, Brian Cox,Wes Anderson
6581,11547,1500000,6.176091259,Horror,6.466688,8/15/2003,30553394,7.485059461,93,Cabin Fever,5.5,332,Rider Strong, Jordan Ladd, James DeBello, Cerina Vincent, Joey Kern, Arie Verveen,Eli Roth
1817,11551,40000000,7.602059991," Comedy, Adventure, Fantasy, Science Fiction, Action",10.03936,7/10/1998,54682547,7.737848735,110,Small Soldiers,6.2,522,Gregory Smith, Kirsten Dunst, Denis Leary, Phil Hartman, David Cross, Jay Mohr,
8791,11558,6500000,6.812913357," Comedy, Crime, Romance, Thriller",8.254209,12/3/1976,51079064,7.70824293,114,Silver Streak,6.8,101,Gene Wilder, Jill Clayburgh, Richard Pryor, Patrick McGoohan, Ned Beatty, Clifton James,Arthur Hiller
5164,11560,42000000,7.62324929," Drama, Mystery, Thriller, Crime",8.371005,4/3/2002,63781810,7.804696839,115,High Crimes,6.1,187,Ashley Judd, Morgan Freeman, Jim Caviezel, Amanda Peet, Adam Scott, Bruce Davison,Carl Franklin
1052,11561,2000000,6.301029996," Comedy, Romance, Science Fiction",6.048904,12/17/1973,18344729,7.2635113,89,Sleeper,7,206,Woody Allen, Diane Keaton, John Beck, Mary Gregory, Brian Avery, Don Keefer,Woody Allen
10790,11565,40000000,7.602059991," Comedy, Crime",7.622875,1/26/2006,138259062,8.140693606,99,Big Momma's House 2,5.4,376,Martin Lawrence, Nia Long, Emily Procter, Zachary Levi, Mark Moses, Kat Dennings,John Whitesell
3804,11569,5000000,6.698970004," Horror, Thriller, War",6.546551,9/11/1992,12534961,7.098122987,93,Hellraiser III: Hell on Earth,5.3,160,Kevin Bernhardt, Terry Farrell, Ken Carpenter, Doug Bradley, Paula Marshall, Philip Hyland,Anthony Hickox
1058,11575,12000000,7.079181246," Adventure, Comedy",4.473327,7/1/1965,25333333,7.403692332,160,The Great Race,7.2,64,Jack Lemmon, Tony Curtis, Natalie Wood, Peter Falk, Keenan Wynn, Vivian Vance,Blake Edwards
4683,11576,9400000,6.973127854," Action, Adventure, Comedy, Crime",13.266545,11/7/1963,60000000,7.77815125,163,"It's a Mad, Mad, Mad, Mad World",7,142,Spencer Tracy, Milton Berle, Sid Caesar, Buddy Hackett, Mickey Rooney, Moe Howard,Stanley Kramer
7518,11577,4638783,6.666404057,Western,5.781236,5/23/1973,11000000,7.041392685,106,Pat Garrett & Billy the Kid,7.2,67,James Coburn, Kris Kristofferson, Richard Jaeckel, Katy Jurado, Chill Wills, Barry Sullivan,"Animal Wrangler, Chema,  Hernandez"
1895,11586,14000000,7.146128036," Horror, Thriller, Fantasy",8.266984,6/17/1977,30749142,7.487833002,118,Exorcist II: The Heretic,4.5,137,Linda Blair, Richard Burton, Louise Fletcher, Max von Sydow, Kitty Winn, Paul Henreid,John Boorman
3722,11589,4000000,6.602059991," Adventure, Comedy, War",8.418662,6/22/1970,5200000,6.716003344,144,Kelly's Heroes,7.2,191,Clint Eastwood, Telly Savalas, Don Rickles, Donald Sutherland, Gavin MacLeod, Hal Buckley,Brian G. Hutton
4910,11595,38000000,7.579783597," Thriller, Action, Comedy, Crime, Drama",6.938921,6/8/1990,153518974,8.186162059,95,Another 48 Hrs.,5.8,205,Eddie Murphy, Nick Nolte, Brion James, Kevin Tighe, Andrew Divoff, Tisha Campbell-Martin,Walter Hill
361,11596,14000000,7.146128036," Horror, Thriller, Mystery, Fantasy",9.860522,10/13/1994,18090181,7.257442912,112,New Nightmare,6.4,297,Heather Langenkamp, Robert Englund, Miko Hughes, Wes Craven, David Newsom, Tracy Middendorf,
2735,11601,12000000,7.079181246," Horror, Mystery, Thriller",5.875606,9/10/1999,21133087,7.324962941,99,Stir of Echoes,6.5,334,Kevin Bacon, Kathryn Erbe, Illeana Douglas, Kevin Dunn, Lusia Strus, Zachary David Cope,David Koepp
2613,11618,80000000,7.903089987," Horror, Thriller, Fantasy, Mystery",8.967638,7/23/1999,91188905,7.959942001,113,The Haunting,5.2,374,Liam Neeson, Catherine Zeta-Jones, Owen Wilson, Lili Taylor, Bruce Dern, Virginia Madsen,"Projection, Gerry Taylor, Systems Administrators & Support, Steve Ginsberg"
10146,11620,8250000,6.916453949," Drama, History, Romance",11.840985,11/8/1951,30000000,7.477121255,171,Quo Vadis,7,64,Robert Taylor, Deborah Kerr, Leo Genn, Peter Ustinov, Patricia Laffan, Finlay Currie,"Mervyn LeRoy, Anthony Mann"
2389,11622,35000000,7.544068044," Comedy, Romance",8.355977,2/12/1999,40263020,7.604906347,112,Blast from the Past,6.3,247,Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek, Nathan Fillion, Dave Foley,Hugh Wilson
3699,11624,2000000,6.301029996,Comedy,5.378481,8/6/1972,18016290,7.255665364,88,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,218,Woody Allen, John Carradine, Lou Jacobi, Louise Lasser, Anthony Quayle, Tony Randall,Woody Allen
12800,11631,52000000,7.716003344," Comedy, Romance",10.534437,7/3/2008,609841637,8.785217073,108,Mamma Mia!,6.4,1435,Meryl Streep, Pierce Brosnan, Amanda Seyfried, Colin Firth, Stellan Skarsgård, Julie Walters,Phyllida Lloyd
6074,11635,24000000,7.380211242,Comedy,16.195894,2/21/2003,87055349,7.939795461,91,Old School,6.6,552,Luke Wilson, Will Ferrell, Vince Vaughn, Ellen Pompeo, Leah Remini, Elisha Cuthbert,Todd Phillips
9676,11637,32000000,7.505149978," Adventure, Comedy, Family, Romance",9.756822,1/20/2005,97918663,7.990865475,95,Are We There Yet?,5.2,227,Ice Cube, Nia Long, Aleisha Allen, Philip Bolden, Jay Mohr, M.C. Gainey,Brian Levant
9854,11638,35000000,7.544068044," Comedy, Romance",6.71898,3/25/2005,68915888,7.838319357,105,Guess Who,5.5,230,Bernie Mac, Ashton Kutcher, Zoe Saldana, Judith Scott, Hal Williams, Kellee Stewart,
2037,11639,15000000,7.176091259,Fantasy,13.524001,12/17/1982,40577001,7.608279946,93,The Dark Crystal,7.3,233,Jim Henson, Kathryn Mullen, Frank Oz, Dave Goelz, Steve Whitmire, Brian Muehl,Jim Henson
5628,11646,3000000,6.477121255," Adventure, Drama, History, War",7.44658,8/13/1981,11740000,7.069668097,112,Gallipoli,7.1,111,Mel Gibson, Mark Lee, Bill Kerr, Gerda Nicolson, Harold Hopkins, Bill Hunter,Peter Weir
10254,11648,30000000,7.477121255," Romance, Comedy",9.378926,7/21/2005,58405313,7.766452356,98,Must Love Dogs,5.8,142,Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer, Dermot Mulroney, Stockard Channing,Gary David Goldberg
2472,11660,6000,3.77815125," Crime, Drama, Thriller",5.283661,9/12/1998,48482,4.685580527,69,Following,7.2,363,Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan, Dick Bradsell, Gillian El-Kadi,Christopher Nolan
12745,11665,80000000,7.903089987," Action, Comedy, Thriller",11.35779,6/19/2008,230685453,8.363020209,110,Get Smart,6,1072,Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin, Terence Stamp, Terry Crews,"In Memory Of, Mort Segal"
388,11667,35000000,7.544068044," Action, Adventure, Thriller",13.58449,12/22/1994,99423521,7.997489139,102,Street Fighter,4.1,330,Jean-Claude Van Damme, Raúl Juliá, Ming-Na Wen, Дэмиан Чапа, Kylie Minogue, Wes Studi,Steven E. de Souza
12906,11671,13000000,7.113943352," Drama, Romance",6.829658,8/8/2008,14894347,7.173021468,112,Elegy,6.4,73,Penélope Cruz, Ben Kingsley, Patricia Clarkson, Peter Sarsgaard, Dennis Hopper, Sonja Bennett,Isabel Coixet
1325,11674,54000000,7.73239376," Comedy, Family",11.470748,11/17/1996,320689294,8.506084462,103,101 Dalmatians,5.6,722,Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie,,Stephen Herek
2004,11675,17000000,7.230448921," Horror, Thriller",8.619068,8/5/1998,55041738,7.740692139,86,Halloween: H20,5.7,306,Jamie Lee Curtis, Josh Hartnett, Adam Arkin, Michelle Williams, Joseph Gordon-Levitt, LL Cool J,Steve Miner
3883,11678,75000000,7.875061263," Action, Adventure, Thriller",6.548229,12/8/2000,215663859,8.333777372,124,Vertical Limit,5.9,287,Robin Tunney, Bill Paxton, Scott Glenn, Izabella Scorupco, Nicholas Lea, Temuera Morrison,Martin Campbell
10036,11679,60000000,7.77815125," Action, Adventure, Crime, Drama, Mystery, Thriller",19.144611,4/27/2005,71073932,7.851710342,101,xXx: State of the Union,4.7,565,Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman, Peter Strauss, Xzibit," Mix Technician, Eddie Bydalek, Armorer, Vincent Joseph Flaherty"
10160,11683,15000000,7.176091259,Horror,9.478117,6/24/2005,46770602,7.66997296,93,Land of the Dead,6,395,Simon Baker, John Leguizamo, Dennis Hopper, Robert Joy, Asia Argento, Eugene Clark,
3701,11686,3000000,6.477121255," History, Comedy",5.165666,6/10/1975,20173742,7.304786462,85,Love and Death,7.5,176,Woody Allen, Diane Keaton, Georges Adet, Frank Adu, Edmond Ardisson, Féodor Atkine,Woody Allen
3900,11688,100000000,8," Adventure, Animation, Comedy, Family, Fantasy",12.297375,12/9/2000,169327687,8.228727976,78,The Emperor's New Groove,7.2,1544,David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso,Mark Dindal
3333,11690,1500000,6.176091259,Action,8.822276,2/26/1988,11806119,7.072107156,92,Bloodsport,6.6,370,Jean-Claude Van Damme, Bolo Yeung, Roy Chiao, Philip Chan Yan-Kin, Donald Gibb, Ken Siu,"Newt Arnold, M"
4289,11697,3200000,6.505149978,Western,6.641827,4/22/1962,8000000,6.903089987,123,The Man Who Shot Liberty Valance,7.4,272,John Wayne, James Stewart, Vera Miles, Lee Marvin, Ken Murray, John Carradine,John Ford
2036,11704,7000000,6.84509804," Fantasy, Animation, Drama, Family",10.812275,6/17/1982,14665733,7.166303774,82,The Secret of NIMH,7.5,186,Derek Jacobi, Elizabeth Hartman, Arthur Malet, Dom DeLuise, Hermione Baddeley, Shannen Doherty,Don Bluth
5859,11706,6000000,6.77815125," Drama, War, Romance",3.666277,8/21/1956,12500000,7.096910013,208,War and Peace,6.8,50,Audrey Hepburn, Henry Fonda, Mel Ferrer, Vittorio Gassman, Herbert Lom, Oskar Homolka,King Vidor
9416,11774,140000000,8.146128036," Adventure, Comedy, Family",12.817945,12/16/2004,209073645,8.320299291,108,Lemony Snicket's A Series of Unfortunate Events,6.7,1521,Jim Carrey, Meryl Streep, Jude Law, Emily Browning, Liam Aiken, Kara Hoffman,
6747,11775,60000000,7.77815125," Crime, Comedy, Romance",13.469862,9/2/2003,119940815,8.078966996,100,Intolerable Cruelty,5.8,400,George Clooney, Catherine Zeta-Jones, Edward Herrmann, Geoffrey Rush, Richard Jenkins, Billy Bob Thornton,
1225,11778,15000000,7.176091259," Drama, War",7.729445,12/8/1978,50000000,7.698970004,183,The Deer Hunter,7.8,943,Robert De Niro, John Cazale, John Savage, Christopher Walken, Meryl Streep, George Dzundza,
148,11780,28000000,7.447158031,Adventure,10.193549,4/13/1995,31596911,7.499644627,139,Rob Roy,6.5,151,Liam Neeson, Jessica Lange, John Hurt, Tim Roth, Eric Stoltz, Brian Cox,Michael Caton-Jones
2760,11797,9000000,6.954242509,Horror,7.472509,8/2/1985,24922237,7.396587022,106,Fright Night,6.9,279,Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall, Stephen Geoffreys, Jonathan Stark,Tom Holland
11842,11798,2380000,6.376576957," Drama, Crime",2.514638,9/12/2006,8176544,6.912569778,101,This Is England,7.4,370,Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim, Vicky McClure, Joseph Gilgun,Shane Meadows
12843,11802,37000000,7.568201724," Animation, Family",6.212702,7/17/2008,63800345,7.804823027,81,Space Chimps,5.1,102,Andy Samberg, Cheryl Hines, Jeff Daniels, Patrick Warburton, Kristin Chenoweth, Kenan Thompson,Kirk De Micco
9582,11804,10000000,7," Drama, Horror, Thriller",6.143324,1/7/2005,91196419,7.959977785,101,White Noise,5.6,267,Michael Keaton, Chandra West, Deborah Kara Unger, Ian McNeice, Keegan Connor Tracy, Sarah Strange,
14315,11807,2300000,6.361727836," Drama, Comedy, Romance",3.959411,10/26/2007,4600000,6.662757832,145,Jab We Met,7.2,55,Shahid Kapoor, Kareena Kapoor, Saumya Tandon, Tarun Arora, Dara Singh, Pavan Malhotra,Imtiaz Ali
1700,11808,60000000,7.77815125," Thriller, Crime, Action",8.462364,3/6/1998,102367405,8.010161694,131,U.S. Marshals,6.2,383,Tommy Lee Jones, Wesley Snipes, Robert Downey Jr., Joe Pantoliano, Daniel Roebuck, Tom Wood,
6988,11811,900000,5.954242509," Comedy, Horror, Thriller",9.096254,1/8/1993,8556940,6.932318487,92,Leprechaun,5.1,120,Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton, Robert Hy Gorman, Shay Duffin,Mark Jones
5178,11812,43000000,7.633468456," Romance, Comedy",8.889064,4/12/2002,68696770,7.836936318,84,The Sweetest Thing,5.3,286,Cameron Diaz, Christina Applegate, Thomas Jane, Selma Blair, Jason Bateman, Parker Posey,
2347,11815,700000,5.84509804," Drama, Horror, Science Fiction",8.407369,7/16/1958,3000000,6.477121255,94,The Fly,6.9,129,David Hedison, Patricia Owens, Vincent Price, Herbert Marshall, Kathleen Freeman, Betty Lou Gerson,Kurt Neumann
8166,11823,31000000,7.491361694," Comedy, Romance",14.224013,9/13/2004,41512007,7.618173731,98,Wimbledon,6,303,Kirsten Dunst, Paul Bettany, Sam Neill, James McAvoy, Bernard Hill, Austin Nichols,Richard Loncraine
1620,11831,36000000,7.556302501," Drama, History, Mystery",2.263584,12/3/1997,74000000,7.86923172,155,Amistad,6.8,324,Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou, Matthew McConaughey, David Paymer,Steven Spielberg
8274,11836,30000000,7.477121255," Animation, Comedy, Family",11.213712,11/14/2004,140161792,8.146629641,87,The SpongeBob SquarePants Movie,6.7,593,Tom Kenny, Clancy Brown, Rodger Bumpass, Bill Fagerbakke, Carolyn Lawrence, Jeffrey Tambor,Stephen Hillenburg
2035,11837,1000000,6," Adventure, Animation, Drama",5.602126,10/14/1978,3713768,6.56981477,88,Watership Down,7.3,159,John Hurt, Richard Briers, Michael Graham Cox, John Bennett, Simon Cadell, Ralph Richardson,Martin Rosen
1097,11843,5000000,6.698970004," Mystery, Comedy, Crime",6.501177,5/21/1975,41833347,7.621522613,113,The Return of the Pink Panther,6.7,138,Peter Sellers, Christopher Plummer, Herbert Lom, Catherine Schell, Peter Arne, Peter Jeffrey,Blake Edwards
6872,11850,3500000,6.544068044," Horror, Mystery, Science Fiction, Thriller",5.219641,12/19/1978,24046533,7.381052469,115,Invasion of the Body Snatchers,7.1,231,Donald Sutherland, Brooke Adams, Leonard Nimoy, Veronica Cartwright, Jeff Goldblum, Art Hindle,Philip Kaufman
9198,11854,1530000,6.184691431," Drama, Romance",6.441119,10/16/1998,15306000,7.184861709,185,Kuch Kuch Hota Hai,7.5,93,Shah Rukh Khan, Kajol, Rani Mukerji, Salman Khan, Neelam Kothari, Farida Jalal,Karan Johar
45,11861,10000000,7," Drama, Romance",4.485958,10/6/1995,23574130,7.372435674,116,How To Make An American Quilt,6.5,38,Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons, Maya Angelou,Jocelyn Moorhouse
4974,11870,15000000,7.176091259," Comedy, Family",4.643981,2/8/2002,52970014,7.724030088,88,Big Fat Liar,5.6,202,Frankie Muniz, Paul Giamatti, Amanda Bynes, Amanda Detmer, Donald Faison, Lee Majors,Shawn Levy
2367,11873,13800000,7.139879086,Drama,11.613655,10/7/1986,52293982,7.718451713,119,The Color of Money,6.7,297,Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver, John Turturro, Bill Cobbs,Martin Scorsese
7930,11884,15000000,7.176091259," Adventure, Science Fiction, Action",5.984133,7/13/1984,28733290,7.458385356,101,The Last Starfighter,6.5,225,Lance Guest, Catherine Mary Stewart, Suzanne Snyder, Barbara Bosson, Robert Preston, Kay E. Kuter,Nick Castle
2926,11886,15000000,7.176091259," Animation, Family",11.179855,11/8/1973,32056467,7.505915656,83,Robin Hood,7,1155,Brian Bedford, Phil Harris, Peter Ustinov, Pat Buttram, Ken Curtis, George Lindsey,Wolfgang Reitherman
5194,11892,50000000,7.698970004," Crime, Drama, Thriller",9.645801,4/19/2002,56714147,7.753691405,120,Murder by Numbers,6,275,Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt, Agnes Bruckner, Chris Penn,Barbet Schroeder
4216,11896,14000000,7.146128036," Crime, Comedy",6.573364,12/11/1987,57915972,7.762798349,88,Throw Momma from the Train,6,147,Danny DeVito, Billy Crystal, Kim Greist, Anne Ramsey, Kate Mulgrew, Branford Marsalis,
7958,11897,15000000,7.176091259," History, Western, Adventure",7.281721,11/1/1962,50000000,7.698970004,162,How the West Was Won,6.6,83,Carroll Baker, Lee J. Cobb, Henry Fonda, Carolyn Jones, Karl Malden, Gregory Peck,"John Ford, George Marshall, Henry Hathaway, Richard Thorpe"
2814,11901,5500000,6.740362689,Western,9.91087,4/19/1973,15700000,7.195899652,105,High Plains Drifter,7.4,284,Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan, Jack Ging, Stefan Gierasch,Clint Eastwood
13123,11917,10800000,7.033423755," Horror, Thriller, Crime",10.165499,10/23/2008,113857533,8.05636177,92,Saw V,6,848,Tobin Bell, Costas Mandylor, Scott Patterson, Betsy Russell, Mark Rolston, Julie Benz,David Hackl
2208,11932,25000000,7.397940009," Horror, Comedy",13.018491,10/16/1998,50671850,7.70476676,89,Bride of Chucky,5.5,366,Ed Gale, Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile, John Ritter,Ronny Yu
3694,11940,3500000,6.544068044," Action, Adventure, Family, Fantasy, Science Fiction",3.502655,7/15/1977,16000000,7.204119983,113,Sinbad and the Eye of the Tiger,6.3,39,Patrick Wayne, Taryn Power, Margaret Whiting, Jane Seymour, Patrick Troughton, Kurt Christian,Sam Wanamaker
7170,11951,1300000,6.113943352," Action, Thriller, Drama",5.184013,1/15/1971,72266306,7.858935856,99,Vanishing Point,7.1,110,Barry Newman, Cleavon Little, Dean Jagger, Victoria Medlin, Gilda Texter, Lee Weaver,Richard C. Sarafian
1336,11967,13000000,7.113943352," Crime, Action, Adventure, Drama, Western",9.905174,8/12/1988,44726644,7.650566313,107,Young Guns,6.6,262,Emilio Estevez, Kiefer Sutherland, Lou Diamond Phillips, Charlie Sheen, Dermot Mulroney, Casey Siemaszko,Christopher Cain
548,11969,25000000,7.397940009," Action, Adventure, Drama, History, Western",11.338194,12/25/1993,56505065,7.752087379,130,Tombstone,7.4,632,Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton, Powers Boothe, Michael Biehn,
1501,11970,85000000,7.929418926," Animation, Family, Fantasy, Adventure, Comedy, Romance",14.048694,6/26/1997,252712101,8.402626038,93,Hercules,7.3,1741,Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito, James Woods, Susan Egan,"Sound Designer, Gary Rydstrom"
1969,11974,18000000,7.255272505," Comedy, Horror, Thriller",7.889227,2/17/1989,36602000,7.563504817,101,The 'Burbs,6.6,312,Tom Hanks, Bruce Dern, Carrie Fisher, Rick Ducommun, Corey Feldman, Wendy Schaal,Joe Dante
1600,11975,40000000,7.602059991," Drama, Crime, Thriller",6.683398,11/18/1997,45916769,7.661971321,135,The Rainmaker,6.7,239,Matt Damon, Danny DeVito, Jon Voight, Claire Danes, Mary Kay Place, Dean Stockwell,
3439,11977,6000000,6.77815125,Comedy,10.451986,7/25/1980,39846344,7.60038848,98,Caddyshack,6.7,370,Chevy Chase, Rodney Dangerfield, Ted Knight, Bill Murray, Sarah Holcomb, Scott Colomby,Harold Ramis
3864,11978,32000000,7.505149978,Drama,7.177649,9/13/2000,48814909,7.688552484,129,Men of Honor,7,556,Robert De Niro, Cuba Gooding Jr., Charlize Theron, Aunjanue Ellis, Hal Holbrook, Michael Rapaport,"George Tillman, Jr."
5010,11979,35000000,7.544068044," Drama, Fantasy, Horror",8.436243,2/10/2002,45479110,7.657811957,101,Queen of the Damned,5.5,247,Stuart Townsend, Aaliyah, Marguerite Moreau, Vincent Pérez, Paul McGann, Lena Olin,Michael Rymer
