,id,budget,budget_log,genres,popularity,release_date,revenue,revenue_log,runtime,title,vote_average,vote_count,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,director
1216,3090,3800000,6.579783597," Action, Adventure, Drama, Western",8.070589,1/24/1948,4307000,6.634174872,126,The Treasure of the Sierra Madre,7.9,285,Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya,"John Huston, Other, Ernesto A. Romero"
3756,3110,3100000,6.491361694," Drama, Western",6.63816,4/23/1953,20000000,7.301029996,118,Shane,7.3,143,Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde, Jack Palance, Ben Johnson,George Stevens
1849,3116,3600000,6.556302501,Drama,10.579988,5/25/1969,44785053,7.651133093,113,Midnight Cowboy,7.4,307,Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro, Barnard Hughes,John Schlesinger
5840,3131,100000000,8," Drama, History, Crime",14.922399,12/14/2002,193772504,8.287292151,167,Gangs of New York,7.1,1964,Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Liam Neeson, Brendan Gleeson, John C. Reilly,
1915,3170,858000,5.933487288," Animation, Drama, Family",13.698132,8/14/1942,267447150,8.427237974,70,Bambi,6.8,1450,Donnie Dunagan, Peter Behn, Stan Alexander, Cammie King, Will Wright, Hardie Albright,"David Hand, James Algar, Samuel Armstrong, William Roberts, Paul Satterfield, Graham Heid, Norman Wright"
2624,3175,11000000,7.041392685," Drama, Romance, War",14.003467,12/18/1975,20000000,7.301029996,184,Barry Lyndon,7.7,521,Marisa Berenson, Hardy Krüger, Diana Körner, Frank Middlemass, Godfrey Quigley, Leonard Rossiter,Stanley Kubrick
6893,3176,4500000,6.653212514," Drama, Thriller, Adventure",12.701098,12/16/2000,25000000,7.397940009,114,Battle Royale,7.3,992,Takeshi Kitano, Tsuyako Kinoshita, Eri Ishikawa, Sayaka Ikeda, Tomomi Shimaki, Tamaki Mihara,Kinji Fukasaku
10484,3291,7000000,6.84509804," Drama, History",7.523098,9/16/2005,54600000,7.737192643,93,"Good Night, and Good Luck.",6.8,274,David Strathairn, Jeff Daniels, Alex Borstein, Rose Abdoo, Dianne Reeves, Tate Donovan,George Clooney
2504,3309,1453000,6.162265614," Crime, Drama",4.497049,9/24/1945,5638000,6.751125072,111,Mildred Pierce,7.4,81,Joan Crawford, Jack Carson, Zachary Scott, Eve Arden, Ann Blyth, Bruce Bennett,Michael Curtiz
11863,3432,20000000,7.301029996," Drama, Crime, Mystery, Thriller",7.423812,6/1/2007,41637263,7.619482174,120,Mr. Brooks,6.8,543,Kevin Costner, Demi Moore, Dane Cook, William Hurt, Marg Helgenberger, Danielle Panabaker,Bruce A. Evans
8626,3482,5800000,6.763427994," Action, Drama, Thriller, War",4.412564,9/21/1964,6800000,6.832508913,133,The Train,7.2,74,Burt Lancaster, Paul Scofield, Jeanne Moreau, Suzanne Flon, Michel Simon, Wolfgang Preiss,John Frankenheimer
201,3512,60000000,7.77815125," Action, Thriller",7.490247,7/13/1995,104324083,8.018384576,100,Under Siege 2: Dark Territory,5.6,217,Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl, Моррис Честнат, Peter Greene,Geoff Murphy
2140,3525,28000000,7.447158031," Comedy, Drama, Romance",8.318954,12/20/1988,103173635,8.013568732,114,Working Girl,6.5,242,Harrison Ford, Melanie Griffith, Sigourney Weaver, Alec Baldwin, Joan Cusack, Philip Bosco,Mike Nichols
929,3529,226408,5.354891768," Comedy, Crime, Mystery",10.573867,5/25/1934,1423000,6.1532049,93,The Thin Man,7.4,97,William Powell, Myrna Loy, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth,W.S. Van Dyke
3442,3536,62000000,7.792391689," Action, Drama, Thriller, War",7.879924,4/20/2000,127666415,8.106076663,116,U-571,6.1,345,Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann,Jonathan Mostow
11962,3563,85000000,7.929418926," Comedy, Romance",6.645799,7/12/2007,186072214,8.269681525,115,I Now Pronounce You Chuck & Larry,5.8,640,Adam Sandler, Kevin James, Jessica Biel, Dan Aykroyd, Ving Rhames, Steve Buscemi,"Dennis Dugan, treatment, Lew Gallo"
817,3573,6000000,6.77815125," Drama, Comedy, Romance",6.593011,8/2/1996,22231658,7.346971853,121,Emma,6.7,152,Gwyneth Paltrow, Toni Collette, Alan Cumming, Ewan McGregor, Jeremy Northam, Greta Scacchi,
13088,3580,55000000,7.740362689," Crime, Drama, Mystery",11.672394,1/30/2008,113020255,8.053156283,141,Changeling,7.3,1151,Angelina Jolie, Jeffrey Donovan, John Malkovich, Geoff Pierson, Amy Ryan, Gattlin Griffith,Clint Eastwood
11630,3594,30000000,7.477121255," Thriller, Drama, Mystery",8.140941,2/23/2007,77566815,7.889675959,101,The Number 23,6.3,1045,Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston, Lynn Collins, Mark Pellegrino,Joel Schumacher
811,3595,80000000,7.903089987," Action, Thriller",8.772188,11/8/1996,309492681,8.490650383,117,Ransom,6.4,482,Mel Gibson, Gary Sinise, Delroy Lindo, Rene Russo, Lili Taylor, Brawley Nolte,Ron Howard
1572,3597,17000000,7.230448921," Horror, Thriller, Mystery",7.417157,10/17/1997,125586134,8.098941691,100,I Know What You Did Last Summer,5.6,698,Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze Jr., Bridgette Wilson, Johnny Galecki,Jim Gillespie
11995,3638,28000000,7.447158031,Comedy,9.672317,7/25/2007,92601050,7.966615911,104,No Reservations,6.1,336,Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson, Jenny Wade, Bob Balaban,Scott Hicks
2085,3682,13000000,7.113943352," Music, Drama",8.736869,8/28/1998,16757163,7.224200494,106,54,5.5,138,Ryan Phillippe, Salma Hayek, Breckin Meyer, Mike Myers, Neve Campbell, Sherry Stringfield,
10411,3933,40000000,7.602059991," Romance, Fantasy, Animation, Music",12.920032,9/9/2005,117195061,8.068909309,77,Corpse Bride,7.2,1957,Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley,"Tim Burton, Mike Johnson"
4378,3980,2000000,6.301029996," Action, Comedy, Horror, Science Fiction, Thriller",10.113807,4/11/1986,13167232,7.119494488,82,Critters,5.9,221,Dee Wallace, M. Emmet Walsh, Billy Zane, Scott Grimes, Lin Shaye, Ethan Phillips,Stephen Herek
3902,3981,70000000,7.84509804," Comedy, Romance",9.963079,12/15/2000,374111707,8.573001299,127,What Women Want,6.1,1021,Helen Hunt, Mel Gibson, Marisa Tomei, Lauren Holly, Mark Feuerstein, Alan Alda,Nancy Meyers
8217,3989,32000000,7.505149978," Music, Adventure, Animation, Action, Comedy",11.428941,10/10/2004,50907422,7.706781105,98,Team America: World Police,6.6,667,Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Maurice LaMarche,
2071,4011,15000000,7.176091259," Fantasy, Comedy",10.627364,2/29/1988,73326666,7.865261939,92,Beetlejuice,7.1,1475,Geena Davis, Alec Baldwin, Winona Ryder, Michael Keaton, Jeffrey Jones, Glenn Shadix,Tim Burton
4457,4105,30000000,7.477121255," Action, Thriller, Crime",6.973408,9/22/1989,45892212,7.661738991,125,Black Rain,6.2,250,Michael Douglas, Andy García, Kate Capshaw, Shigeru Kôyama, John Spencer, Ken Takakura,"Ridley Scott,  Pilot,  Robert , Bobby Z,  Zajonc"
